Date,FB,AMZN,AAPL,GOOG
2/25/2014,69.85,358.32,74.58,609.39
2/26/2014,69.26,359.8,73.91,609.47
2/27/2014,68.94,360.13,75.38,608.995
2/28/2014,68.46,362.1,75.18,607.22
3/3/2014,67.41,359.78,75.39,600.74
3/4/2014,68.8,363.9,75.89,606.85
3/5/2014,71.57,372.37,76.05,608.521
3/6/2014,70.84,372.16,75.8214,609.195
3/7/2014,69.8,372.06,75.78,606.7876
3/10/2014,72.03,370.53,75.8457,605.1792
3/11/2014,70.1,368.82,76.58,599.395
3/12/2014,70.8799,370.64,76.66,603.05
3/13/2014,68.83,371.51,75.81,593.94
3/14/2014,67.72,373.74,74.96,585.81
3/17/2014,68.7399,375.04,75.25,595.45
3/18/2014,69.19,378.77,75.9143,605.02
3/19/2014,68.24,373.23,75.89,599.03
3/20/2014,66.97,368.97,75.53,597.9814
3/21/2014,67.24,360.62,76.12,590.93
3/24/2014,64.1,351.85,77.03,578.39
3/25/2014,64.89,354.71,77.86,578.7806
3/26/2014,60.385,343.41,77.11,565.42
3/27/2014,60.97,338.47,76.78,556.58
3/28/2014,60.01,338.29,76.6943,559.51
3/31/2014,60.24,336.365,76.68,556.7
4/1/2014,62.62,342.99,77.38,566.88
4/2/2014,62.72,341.96,77.51,566.9824
4/3/2014,59.49,333.62,76.97,569.74
4/4/2014,56.749,323,75.97,543.14
4/7/2014,56.95,317.76,74.78,538.15
4/8/2014,58.1901,327.07,74.7771,554.9
4/9/2014,62.41,331.805,75.76,564.14
4/10/2014,59.16,317.11,74.78,540.95
4/11/2014,58.53,311.73,74.23,530.6
4/14/2014,58.89,315.91,74.53,532.52
4/15/2014,59.09,316.08,73.9943,536.44
4/16/2014,59.72,323.68,74.1443,556.54
4/17/2014,58.94,324.91,74.99,536.1
4/21/2014,61.24,330.87,75.88,528.62
4/22/2014,63.0301,329.32,75.957,534.81
4/23/2014,61.36,324.58,74.96,526.94
4/24/2014,60.87,337.15,81.11,525.16
4/25/2014,57.71,303.83,81.71,516.18
4/28/2014,56.14,296.58,84.87,517.15
4/29/2014,58.15,300.38,84.62,527.7
4/30/2014,59.78,304.13,84.3,526.66
5/1/2014,61.15,307.89,84.5,531.35
5/2/2014,60.46,308.01,84.65,527.93
5/5/2014,61.22,310.05,85.85,527.81
5/6/2014,58.53,297.38,84.9157,515.14
5/7/2014,57.39,292.71,84.62,509.96
5/8/2014,56.76,288.32,84,511
5/9/2014,57.24,292.24,83.6489,518.73
5/12/2014,59.83,302.86,84.69,529.92
5/13/2014,59.83,304.64,84.82,533.09
5/14/2014,59.23,297.62,84.84,526.65
5/15/2014,57.919,295.19,84.12,519.98
5/16/2014,58.0199,297.7,85.36,520.63
5/19/2014,59.21,296.755,86.37,528.86
5/20/2014,58.56,301.19,86.39,529.77
5/21/2014,60.49,305.01,86.62,538.94
5/22/2014,60.52,304.91,86.75,545.06
5/23/2014,61.351,312.24,87.7329,552.7
5/27/2014,63.48,310.82,89.38,565.95
5/28/2014,63.51,310.16,89.14,561.68
5/29/2014,63.83,313.78,90.77,560.08
5/30/2014,63.3,312.55,90.43,559.89
6/2/2014,63.08,308.84,89.81,553.93
6/3/2014,62.87,307.19,91.08,544.94
6/4/2014,63.34,306.78,92.12,544.66
6/5/2014,63.186,323.57,92.4786,553.9
6/6/2014,62.5,329.67,92.22,556.33
6/9/2014,62.88,327.5,93.7,562.12
6/10/2014,65.77,332.41,94.25,560.55
6/11/2014,65.781,335.2,93.86,558.84
6/12/2014,64.2901,325.91,92.29,551.35
6/13/2014,64.5,326.27,91.28,551.76
6/16/2014,64.19,327.62,92.2,544.28
6/17/2014,64.4,325.62,92.08,543.01
6/18/2014,65.6,334.38,92.18,553.37
6/19/2014,64.3415,327,91.86,554.9
6/20/2014,64.5,324.2,90.91,556.36
6/23/2014,65.37,327.24,90.83,564.95
6/24/2014,65.72,324.16,90.28,564.62
6/25/2014,67.44,327.44,90.36,578.65
6/26/2014,67.13,325.69,90.9,576
6/27/2014,67.6,324.57,91.98,577.24
6/30/2014,67.29,324.78,92.93,575.28
7/1/2014,68.06,332.39,93.52,582.67
7/2/2014,66.45,332.85,93.48,582.335
7/3/2014,66.29,337.492,94.03,584.73
7/7/2014,65.29,333.55,95.968,582.25
7/8/2014,62.76,323.81,95.35,571.09
7/9/2014,64.97,329.97,95.39,576.08
7/10/2014,64.8725,327.92,95.035,571.1
7/11/2014,66.34,346.2,95.22,579.18
7/14/2014,67.9,355.32,96.45,584.87
7/15/2014,67.165,354.44,95.32,584.78
7/16/2014,67.66,355.9,94.78,582.66
7/17/2014,66.4099,352.454,93.0899,573.7299
7/18/2014,68.4199,358.66,94.43,595.08
7/21/2014,69.4,359.76,93.939,589.47
7/22/2014,69.27,360.84,94.72,594.74
7/23/2014,71.29,358.14,97.19,595.98
7/24/2014,74.98,358.61,97.03,593.35
7/25/2014,75.19,324.01,97.671,589.02
7/28/2014,74.92,320.41,99.02,590.6
7/29/2014,73.71,320,98.38,585.61
7/30/2014,74.677,322.51,98.15,587.42
