Date,AAPL,GOOG
8/17/2015,117.16,660.87
8/18/2015,116.5,656.13
8/19/2015,115.01,660.9
8/20/2015,112.65,646.83
8/21/2015,105.76,612.48
8/24/2015,103.12,589.61
8/25/2015,103.74,582.06
8/26/2015,109.69,628.62
8/27/2015,112.92,637.61
8/28/2015,113.29,630.38
8/31/2015,112.76,618.25
9/1/2015,107.72,597.79
9/2/2015,112.34,614.34
9/3/2015,110.37,606.25
9/4/2015,109.27,600.7
9/8/2015,112.31,614.66
9/9/2015,110.15,612.72
9/10/2015,112.57,621.35
9/11/2015,114.21,625.77
9/14/2015,115.31,623.24
9/15/2015,116.28,635.14
9/16/2015,116.41,635.98
9/17/2015,113.92,642.9
9/18/2015,113.45,629.25
9/21/2015,115.21,635.44
9/22/2015,113.4,622.69
9/23/2015,114.32,622.36
9/24/2015,115,625.8
9/25/2015,114.71,611.97
9/28/2015,112.44,594.89
9/29/2015,109.06,594.97
9/30/2015,110.3,608.42
10/1/2015,109.58,611.29
10/2/2015,110.38,626.91
10/5/2015,110.78,641.47
10/6/2015,111.31,645.44
10/7/2015,110.78,642.36
10/8/2015,109.5,639.16
10/9/2015,112.12,643.61
10/12/2015,111.6,646.67
10/13/2015,111.79,652.3
10/14/2015,110.21,651.16
10/15/2015,111.86,661.74
10/16/2015,111.04,662.2
10/19/2015,111.73,666.1
10/20/2015,113.77,650.28
10/21/2015,113.76,642.61
10/22/2015,115.5,651.79
10/23/2015,119.08,702
10/26/2015,115.28,712.78
10/27/2015,114.55,708.49
10/28/2015,119.27,712.95
10/29/2015,120.53,716.92
10/30/2015,119.5,710.81
11/2/2015,121.18,721.11
11/3/2015,122.57,722.16
11/4/2015,122,728.11
11/5/2015,120.92,731.25
11/6/2015,121.06,733.76
11/9/2015,120.57,724.89
11/10/2015,116.77,728.32
11/11/2015,116.11,735.4
11/12/2015,115.72,731.23
11/13/2015,112.34,717
11/16/2015,114.175,728.96
11/17/2015,113.69,725.3
11/18/2015,117.29,740
11/19/2015,118.78,738.41
11/20/2015,119.3,756.6
11/23/2015,117.75,755.98
11/24/2015,118.88,748.28
11/25/2015,118.03,748.15
11/27/2015,117.81,750.26
11/30/2015,118.3,742.6
12/1/2015,117.34,767.04
12/2/2015,116.28,762.38
12/3/2015,115.2,752.54
12/4/2015,119.03,766.81
12/7/2015,118.28,763.25
12/8/2015,118.23,762.37
12/9/2015,115.62,751.61
12/10/2015,116.17,749.46
12/11/2015,113.18,738.87
12/14/2015,112.48,747.77
12/15/2015,110.49,743.4
12/16/2015,111.34,758.09
12/17/2015,108.98,749.43
12/18/2015,106.03,739.31
12/21/2015,107.33,747.77
12/22/2015,107.23,750
12/23/2015,108.61,750.31
12/24/2015,108.03,748.4
12/28/2015,106.82,762.51
12/29/2015,108.74,776.6
12/30/2015,107.32,771
12/31/2015,105.26,758.88
1/4/2016,105.35,741.84
1/5/2016,102.71,742.58
1/6/2016,100.7,743.62
1/7/2016,96.45,726.39
1/8/2016,96.96,714.47
1/11/2016,98.53,716.03
1/12/2016,99.96,726.07
1/13/2016,97.39,700.56
1/14/2016,99.52,714.72
1/15/2016,97.13,694.45
1/19/2016,96.66,701.79
1/20/2016,96.79,698.45
1/21/2016,96.3,706.59
1/22/2016,101.42,725.25
1/25/2016,99.44,711.67
1/26/2016,99.99,713.04
1/27/2016,93.42,699.99
1/28/2016,94.09,730.96
1/29/2016,97.34,742.95
2/1/2016,96.43,752
2/2/2016,94.48,764.65
2/3/2016,96.35,726.95
2/4/2016,96.6,708.01
2/5/2016,94.02,683.57
